taidl_primitive,taidl_status,canonical_xla_op_from_taidl,matched_xla_hlo_op,exists_in_full_xla_csv,taidl_description,xla_description,suggested_abstraction_group,suggested_resource_class,suggested_functional_unit,taidl_web_source_url,xla_source_url,repo_source,notes
reshape,standard_xla,reshape,Reshape,True,Changes tensor shape without changing element values; explicit target shape reshape.,Reshapes the dimensions of an array into a new configuration.,layout_metadata,metadata_only,logical_view_or_typecast,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#reshape,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
convert,standard_xla,convert,ConvertElementType,True,Element-wise type conversion to a new element type with the same dimensions.,"Similar to an element-wise static_cast in C++, ConvertElementType performs an element-wise conversion operation from a data shape to a target shape. The dimensions must match, and the conversion is an element-wise one; e.g. s32 elements become f32 elements via an s32 -to- f32 conversion routine.",layout_metadata,metadata_only,logical_view_or_typecast,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#convertelementtype,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
copy,hlo_only,copy,Copy,True,Explicit HLO copy primitive; semantically duplicates an array and is internally decomposed into CopyStart/CopyDone in HLO.,"Copy is internally decomposed into 2 HLO instructions CopyStart and CopyDone . Copy along with CopyStart and CopyDone serve as primitives in HLO. These ops may appear in HLO dumps, but they are not intended to be constructed manually by end users.",data_movement,local_move_unit,scratchpad_dma_or_tensor_mover,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#copy,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,TAIDL-specific alias/helper
exp,taidl_alias,exponential,Exp,True,TAIDL alias for element-wise natural exponential x -> e^x.,Element-wise natural exponential x -> e^x .,elementwise_special,vector_sfu,sfu_block,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#exp,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,TAIDL-specific alias/helper; Both TAIDL spellings map to XLA Exp
concatenate,standard_xla,concatenate,ConcatInDim (Concatenate),True,Composes one array from multiple operands by joining them along a chosen dimension.,Concatenate composes an array from multiple array operands. The array has the same number of dimensions as each of the input array operands (which must have the same number of dimensions as each other) and contains the arguments in the order that they were specified.,data_movement,local_move_unit,scratchpad_dma_or_tensor_mover,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#concatindim_concatenate,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
bitcast_convert,taidl_alias,bitcast_convert,BitcastConvertType,True,Bit-level reinterpretation of storage into a new element type; shape may change to preserve total bytes.,"Similar to a tf.bitcast in TensorFlow, performs an element-wise bitcast operation from a data shape to a target shape. The input and output size must match: e.g. s32 elements become f32 elements via bitcast routine, and one s32 element will become four s8 elements. Bitcast is implemented as a low-level cast, so machines with different floating-point representations will give different results.",layout_metadata,metadata_only,logical_view_or_typecast,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#bitcastconverttype,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,TAIDL-specific alias/helper
transpose,standard_xla,transpose,Transpose,True,Permutes tensor dimensions according to a specified permutation.,"Permutes the operand dimensions with the given permutation, so ∀ i . 0 ≤ i < number of dimensions ⇒ input_dimensions[permutation[i]] = output_dimensions[i] .",data_movement,local_move_unit,scratchpad_dma_or_tensor_mover,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#transpose,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
slice,standard_xla,slice,Slice,True,Extracts a bounded sub-array from the input tensor using start/limit/stride indices.,Slicing extracts a sub-array from the input array. The sub-array has the same number of dimensions as the input and contains the values inside a bounding box within the input array where the dimensions and indices of the bounding box are given as arguments to the slice operation.,data_movement,local_move_unit,scratchpad_dma_or_tensor_mover,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#slice,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
dot,standard_xla,dot,Dot,True,Dot product / matrix-vector / matrix-matrix multiplication over contracted dimensions.,The exact semantics of this operation depend on the ranks of the operands:,tensor_compute,tensor_matmul_unit,systolic_array_or_tensor_core,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#dot,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
constant,standard_xla,constant,Constant,True,Produces a tensor from a compile-time constant literal.,Produces an output from a constant literal .,input_literal,metadata_only,input_port_or_constant_store,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#constant,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
broadcast,standard_xla,broadcast,Broadcast,True,Adds dimensions or expands sizes by duplicating operand data across the new dimensions.,Adds dimensions to an array by duplicating the data in the array.,layout_metadata,metadata_only,logical_view_or_typecast,https://openxla.org/xla/operation_semantics,https://openxla.org/xla/operation_semantics#broadcast,/scratch/krish/MLIR-hardware-analysis/submodule/act/taidl/antlr4/IDLV2.g4,
