xla_hlo_op,description,hardware_abstraction_class,class_description,hardware_meaning,in_taidl,taidl_primitives,taidl_statuses,source_url,notes
AllGather,Performs concatenation across replicas.,collective_comm,Cross-core or cross-chip communication and synchronization primitives.,"Maps to network interfaces, collective engines, and interconnect protocols.",False,,,https://openxla.org/xla/operation_semantics#allgather,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
AllReduce,Performs a custom computation across replicas.,collective_comm,Cross-core or cross-chip communication and synchronization primitives.,"Maps to network interfaces, collective engines, and interconnect protocols.",False,,,https://openxla.org/xla/operation_semantics#allreduce,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
AllToAll,AllToAll is a collective operation that sends data from all cores to all cores. It has two phases:,collective_comm,Cross-core or cross-chip communication and synchronization primitives.,"Maps to network interfaces, collective engines, and interconnect protocols.",False,,,https://openxla.org/xla/operation_semantics#alltoall,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
CollectiveBroadcast,"Broadcasts data across replicas. Data is sent from the first replica id in each group to the other ids in the same group. If a replica id is not in any replica group, the output on that replica is a tensor consisting of 0(s) in shape .",collective_comm,Cross-core or cross-chip communication and synchronization primitives.,"Maps to network interfaces, collective engines, and interconnect protocols.",False,,,https://openxla.org/xla/operation_semantics#collectivebroadcast,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
CollectivePermute,CollectivePermute is a collective operation that sends and receives data across replicas.,collective_comm,Cross-core or cross-chip communication and synchronization primitives.,"Maps to network interfaces, collective engines, and interconnect protocols.",False,,,https://openxla.org/xla/operation_semantics#collectivepermute,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
PartitionID,Produces partition_id of the current process.,collective_comm,Cross-core or cross-chip communication and synchronization primitives.,"Maps to network interfaces, collective engines, and interconnect protocols.",False,,,https://openxla.org/xla/operation_semantics#partitionid,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ReplicaId,Returns the unique ID (U32 scalar) of the replica.,collective_comm,Cross-core or cross-chip communication and synchronization primitives.,"Maps to network interfaces, collective engines, and interconnect protocols.",False,,,https://openxla.org/xla/operation_semantics#replicaid,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ConcatInDim (Concatenate),Concatenate composes an array from multiple array operands. The array has the same number of dimensions as each of the input array operands (which must have the same number of dimensions as each other) and contains the arguments in the order that they were specified.,contiguous_move,"Regular, structured tensor movement with predictable contiguous or affine address patterns.","Typically mapped to DMA engines, tensor movers, or scratchpad interconnect paths.",True,concatenate,standard_xla,https://openxla.org/xla/operation_semantics#concatindim_concatenate,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Copy,"Copy is internally decomposed into 2 HLO instructions CopyStart and CopyDone . Copy along with CopyStart and CopyDone serve as primitives in HLO. These ops may appear in HLO dumps, but they are not intended to be constructed manually by end users.",contiguous_move,"Regular, structured tensor movement with predictable contiguous or affine address patterns.","Typically mapped to DMA engines, tensor movers, or scratchpad interconnect paths.",True,copy,hlo_only,https://openxla.org/xla/operation_semantics#copy,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
DynamicUpdateSlice,"DynamicUpdateSlice generates a result which is the value of the input array operand , with a slice update overwritten at start_indices . The shape of update determines the shape of the sub-array of the result which is updated. The shape of start_indices must be 1-dimensional, with dimension size equal to the number of dimensions of operand .",contiguous_move,"Regular, structured tensor movement with predictable contiguous or affine address patterns.","Typically mapped to DMA engines, tensor movers, or scratchpad interconnect paths.",True,dynamic_update_slice,standard_xla,https://openxla.org/xla/operation_semantics#dynamicupdateslice,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Pad,Expands the given operand array by padding around the array as well as between the elements of the array with the given padding_value . padding_config specifies the amount of edge padding and the interior padding for each dimension.,contiguous_move,"Regular, structured tensor movement with predictable contiguous or affine address patterns.","Typically mapped to DMA engines, tensor movers, or scratchpad interconnect paths.",False,,,https://openxla.org/xla/operation_semantics#pad,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Rev (reverse),"Reverses the order of elements in the operand array along the specified dimensions , generating an output array of the same shape. Each element of the operand array at a multidimensional index is stored into the output array at a transformed index. The multidimensional index is transformed by reversing the index in each dimension to be reversed (i.e., if a dimension of size N is one of the reversing dimensions, its index i is transformed into N - 1 - i).",contiguous_move,"Regular, structured tensor movement with predictable contiguous or affine address patterns.","Typically mapped to DMA engines, tensor movers, or scratchpad interconnect paths.",False,,,https://openxla.org/xla/operation_semantics#rev_reverse,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Slice,Slicing extracts a sub-array from the input array. The sub-array has the same number of dimensions as the input and contains the values inside a bounding box within the input array where the dimensions and indices of the bounding box are given as arguments to the slice operation.,contiguous_move,"Regular, structured tensor movement with predictable contiguous or affine address patterns.","Typically mapped to DMA engines, tensor movers, or scratchpad interconnect paths.",True,slice,standard_xla,https://openxla.org/xla/operation_semantics#slice,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Transpose,"Permutes the operand dimensions with the given permutation, so ∀ i . 0 ≤ i < number of dimensions ⇒ input_dimensions[permutation[i]] = output_dimensions[i] .",contiguous_move,"Regular, structured tensor movement with predictable contiguous or affine address patterns.","Typically mapped to DMA engines, tensor movers, or scratchpad interconnect paths.",True,transpose,standard_xla,https://openxla.org/xla/operation_semantics#transpose,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
AddDependency,"AddDependency may appear in HLO dumps, but they are not intended to be constructed manually by end users.",control_runtime,"Control flow, token/order management, runtime dispatch, or compiler/runtime structure ops.","Handled by scalar/control processors, sequencers, or runtime support rather than bulk data engines.",False,,,https://openxla.org/xla/operation_semantics#adddependency,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
AfterAll,AfterAll takes a variadic number of tokens and produces a single token. Tokens are primitive types which can be threaded between side-effecting operations to enforce ordering. AfterAll can be used as a join of tokens for ordering an operation after a set of operations.,control_runtime,"Control flow, token/order management, runtime dispatch, or compiler/runtime structure ops.","Handled by scalar/control processors, sequencers, or runtime support rather than bulk data engines.",False,,,https://openxla.org/xla/operation_semantics#afterall,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Async,"AsyncDone , AsyncStart , and AsyncUpdate are internal HLO instructions used for Asynchronous operations and serve as primitives in HLO. These ops may appear in HLO dumps but they are not intended to be constructed manually by end users.",control_runtime,"Control flow, token/order management, runtime dispatch, or compiler/runtime structure ops.","Handled by scalar/control processors, sequencers, or runtime support rather than bulk data engines.",False,,,https://openxla.org/xla/operation_semantics#async,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Call,Invokes a computation with the given arguments.,control_runtime,"Control flow, token/order management, runtime dispatch, or compiler/runtime structure ops.","Handled by scalar/control processors, sequencers, or runtime support rather than bulk data engines.",False,,,https://openxla.org/xla/operation_semantics#call,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Conditional,"Executes true_computation if predicate is true , false_computation if predicate is false , and returns the result.",control_runtime,"Control flow, token/order management, runtime dispatch, or compiler/runtime structure ops.","Handled by scalar/control processors, sequencers, or runtime support rather than bulk data engines.",False,,,https://openxla.org/xla/operation_semantics#conditional,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
CustomCall,Call a user-provided function within a computation.,control_runtime,"Control flow, token/order management, runtime dispatch, or compiler/runtime structure ops.","Handled by scalar/control processors, sequencers, or runtime support rather than bulk data engines.",False,,,https://openxla.org/xla/operation_semantics#customcall,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Domain,"Domain may appear in HLO dumps, but it is not intended to be constructed manually by end users.",control_runtime,"Control flow, token/order management, runtime dispatch, or compiler/runtime structure ops.","Handled by scalar/control processors, sequencers, or runtime support rather than bulk data engines.",False,,,https://openxla.org/xla/operation_semantics#domain,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Fusion,Fusion operation represents HLO instructions and serves as a primitive in HLO. This op may appear in HLO dumps but is not intended to be constructed manually by end users.,control_runtime,"Control flow, token/order management, runtime dispatch, or compiler/runtime structure ops.","Handled by scalar/control processors, sequencers, or runtime support rather than bulk data engines.",False,,,https://openxla.org/xla/operation_semantics#fusion,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Map,"Applies a scalar function over the given operands arrays, producing an array of the same dimensions where each element is the result of the mapped function applied to the corresponding elements in the input arrays.",control_runtime,"Control flow, token/order management, runtime dispatch, or compiler/runtime structure ops.","Handled by scalar/control processors, sequencers, or runtime support rather than bulk data engines.",False,,,https://openxla.org/xla/operation_semantics#map,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
OptimizationBarrier,Blocks any optimization pass from moving computations across the barrier.,control_runtime,"Control flow, token/order management, runtime dispatch, or compiler/runtime structure ops.","Handled by scalar/control processors, sequencers, or runtime support rather than bulk data engines.",False,,,https://openxla.org/xla/operation_semantics#optimizationbarrier,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
While,Sequentially executes the body until the condition fails. This is similar to a typical while loop in many other languages except for the differences and restrictions listed below.,control_runtime,"Control flow, token/order management, runtime dispatch, or compiler/runtime structure ops.","Handled by scalar/control processors, sequencers, or runtime support rather than bulk data engines.",False,,,https://openxla.org/xla/operation_semantics#while,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
DynamicSlice,"DynamicSlice extracts a sub-array from the input array at dynamic start_indices . The size of the slice in each dimension is passed in size_indices , which specify the end point of exclusive slice intervals in each dimension: [start, start + size). The shape of start_indices must be 1-dimensional, with dimension size equal to the number of dimensions of operand .",indexed_move,Indirect or data-dependent movement where addresses are computed from indices rather than simple affine ranges.,"Requires AGUs, gather/scatter hardware, or more capable memory-side engines than plain DMA.",False,,,https://openxla.org/xla/operation_semantics#dynamicslice,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Gather,The XLA gather operation stitches together several slices (each slice at a potentially different runtime offset) of an input array.,indexed_move,Indirect or data-dependent movement where addresses are computed from indices rather than simple affine ranges.,"Requires AGUs, gather/scatter hardware, or more capable memory-side engines than plain DMA.",False,,,https://openxla.org/xla/operation_semantics#gather,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Scatter,"The XLA scatter operation generates a sequence of results which are the values of the input array operands , with several slices (at indices specified by scatter_indices ) updated with the sequence of values in updates using update_computation .",indexed_move,Indirect or data-dependent movement where addresses are computed from indices rather than simple affine ranges.,"Requires AGUs, gather/scatter hardware, or more capable memory-side engines than plain DMA.",False,,,https://openxla.org/xla/operation_semantics#scatter,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Sort,If only one operand is provided:,indexed_move,Indirect or data-dependent movement where addresses are computed from indices rather than simple affine ranges.,"Requires AGUs, gather/scatter hardware, or more capable memory-side engines than plain DMA.",False,,,https://openxla.org/xla/operation_semantics#sort,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Constant,Produces an output from a constant literal .,input_literal,"Program inputs, constants, and literal values entering the dataflow.",Represents sources/sinks of data rather than active compute.,True,constant,standard_xla,https://openxla.org/xla/operation_semantics#constant,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Parameter,Parameter represents an argument input to a computation.,input_literal,"Program inputs, constants, and literal values entering the dataflow.",Represents sources/sinks of data rather than active compute.,True,parameter,hlo_only,https://openxla.org/xla/operation_semantics#parameter,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Infeed,"Reads a single data item from the implicit Infeed streaming interface of the device, interpreting the data as the given shape and its layout, and returns a XlaOp of the data. Multiple Infeed operations are allowed in a computation, but there must be a total order among the Infeed operations. For example, two Infeed 's in the code below have a total order since there is a dependency between the while loops.",io_transfer,Explicit input/output transfer between accelerator and external environment.,"Typically serviced by IO fabrics, host interfaces, or DMA/control paths.",False,,,https://openxla.org/xla/operation_semantics#infeed,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Outfeed,Writes inputs to the outfeed.,io_transfer,Explicit input/output transfer between accelerator and external environment.,"Typically serviced by IO fabrics, host interfaces, or DMA/control paths.",False,,,https://openxla.org/xla/operation_semantics#outfeed,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Recv,"Recv , RecvWithTokens , and RecvToHost are operations that serve as communication primitives in HLO. These ops typically appear in HLO dumps as part of low-level input/output or cross-device transfer, but they are not intended to be constructed manually by end users.",io_transfer,Explicit input/output transfer between accelerator and external environment.,"Typically serviced by IO fabrics, host interfaces, or DMA/control paths.",False,,,https://openxla.org/xla/operation_semantics#recv,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Send,"Send , SendWithTokens , and SendToHost are operations that serve as communication primitives in HLO. These ops typically appear in HLO dumps as part of low-level input/output or cross-device transfer, but they are not intended to be constructed manually by end users.",io_transfer,Explicit input/output transfer between accelerator and external environment.,"Typically serviced by IO fabrics, host interfaces, or DMA/control paths.",False,,,https://openxla.org/xla/operation_semantics#send,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Bitcast,"Bitcast may appear in HLO dumps, but they are not intended to be constructed manually by end users.",logical_view,"Logical or view-level tensor reinterpretation. These ops usually change shape, type view, or layout description without necessarily moving data.","Usually handled by compiler/runtime metadata, address interpretation, or lightweight scalar/control logic unless later materialized.",False,,,https://openxla.org/xla/operation_semantics#bitcast,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
BitcastConvertType,"Similar to a tf.bitcast in TensorFlow, performs an element-wise bitcast operation from a data shape to a target shape. The input and output size must match: e.g. s32 elements become f32 elements via bitcast routine, and one s32 element will become four s8 elements. Bitcast is implemented as a low-level cast, so machines with different floating-point representations will give different results.",logical_view,"Logical or view-level tensor reinterpretation. These ops usually change shape, type view, or layout description without necessarily moving data.","Usually handled by compiler/runtime metadata, address interpretation, or lightweight scalar/control logic unless later materialized.",True,bitcast_convert,taidl_alias,https://openxla.org/xla/operation_semantics#bitcastconverttype,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Broadcast,Adds dimensions to an array by duplicating the data in the array.,logical_view,"Logical or view-level tensor reinterpretation. These ops usually change shape, type view, or layout description without necessarily moving data.","Usually handled by compiler/runtime metadata, address interpretation, or lightweight scalar/control logic unless later materialized.",True,broadcast,standard_xla,https://openxla.org/xla/operation_semantics#broadcast,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Collapse,Collapses dimensions of an array into one dimension.,logical_view,"Logical or view-level tensor reinterpretation. These ops usually change shape, type view, or layout description without necessarily moving data.","Usually handled by compiler/runtime metadata, address interpretation, or lightweight scalar/control logic unless later materialized.",False,,,https://openxla.org/xla/operation_semantics#collapse,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
ConvertElementType,"Similar to an element-wise static_cast in C++, ConvertElementType performs an element-wise conversion operation from a data shape to a target shape. The dimensions must match, and the conversion is an element-wise one; e.g. s32 elements become f32 elements via an s32 -to- f32 conversion routine.",logical_view,"Logical or view-level tensor reinterpretation. These ops usually change shape, type view, or layout description without necessarily moving data.","Usually handled by compiler/runtime metadata, address interpretation, or lightweight scalar/control logic unless later materialized.",True,convert,standard_xla,https://openxla.org/xla/operation_semantics#convertelementtype,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
DynamicReshape,"This operation is functionally identical to reshape , but the result shape is specified dynamically via output_shape.",logical_view,"Logical or view-level tensor reinterpretation. These ops usually change shape, type view, or layout description without necessarily moving data.","Usually handled by compiler/runtime metadata, address interpretation, or lightweight scalar/control logic unless later materialized.",False,,,https://openxla.org/xla/operation_semantics#dynamicreshape,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
GetDimensionSize,Returns the size of the given dimension of the operand. The operand must be array shaped.,logical_view,"Logical or view-level tensor reinterpretation. These ops usually change shape, type view, or layout description without necessarily moving data.","Usually handled by compiler/runtime metadata, address interpretation, or lightweight scalar/control logic unless later materialized.",False,,,https://openxla.org/xla/operation_semantics#getdimensionsize,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Iota,"Builds a constant literal on device rather than a potentially large host transfer. Creates an array that has specified shape and holds values starting at zero and incrementing by one along the specified dimension. For floating-point types, the produced array is equivalent to ConvertElementType(Iota(...)) where the Iota is of integral type and the conversion is to the floating-point type.",logical_view,"Logical or view-level tensor reinterpretation. These ops usually change shape, type view, or layout description without necessarily moving data.","Usually handled by compiler/runtime metadata, address interpretation, or lightweight scalar/control logic unless later materialized.",False,,,https://openxla.org/xla/operation_semantics#iota,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
