hardware_abstraction_class,class_description,hardware_meaning,example_xla_hlo_ops,num_xla_ops_in_class,taidl_primitives_in_class,num_taidl_primitives_in_class,coverage_note
collective_comm,Cross-core or cross-chip communication and synchronization primitives.,"Maps to network interfaces, collective engines, and interconnect protocols.",AllGather|AllReduce|AllToAll|CollectiveBroadcast|CollectivePermute|PartitionID|ReplicaId,7,,0,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
contiguous_move,"Regular, structured tensor movement with predictable contiguous or affine address patterns.","Typically mapped to DMA engines, tensor movers, or scratchpad interconnect paths.",ConcatInDim (Concatenate)|Copy|DynamicUpdateSlice|Pad|Rev (reverse)|Slice|Transpose,7,concatenate|copy|dynamic_update_slice|slice|transpose,5,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
control_runtime,"Control flow, token/order management, runtime dispatch, or compiler/runtime structure ops.","Handled by scalar/control processors, sequencers, or runtime support rather than bulk data engines.",AddDependency|AfterAll|Async|Call|Conditional|CustomCall|Domain|Fusion|Map|OptimizationBarrier|While,11,,0,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
indexed_move,Indirect or data-dependent movement where addresses are computed from indices rather than simple affine ranges.,"Requires AGUs, gather/scatter hardware, or more capable memory-side engines than plain DMA.",DynamicSlice|Gather|Scatter|Sort,4,,0,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
input_literal,"Program inputs, constants, and literal values entering the dataflow.",Represents sources/sinks of data rather than active compute.,Constant|Parameter,2,constant|parameter,2,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
io_transfer,Explicit input/output transfer between accelerator and external environment.,"Typically serviced by IO fabrics, host interfaces, or DMA/control paths.",Infeed|Outfeed|Recv|Send,4,,0,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
logical_view,"Logical or view-level tensor reinterpretation. These ops usually change shape, type view, or layout description without necessarily moving data.","Usually handled by compiler/runtime metadata, address interpretation, or lightweight scalar/control logic unless later materialized.",Bitcast|BitcastConvertType|Broadcast|Collapse|ConvertElementType|DynamicReshape|GetDimensionSize|Iota|Reshape|SetDimensionSize,10,bitcast_convert|broadcast|convert|reshape,4,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
predication_select,"Comparison, masking, clamping, and selection logic.",Usually implemented in vector ALUs with predicate support or small dedicated compare/select logic.,Clamp|Compare|Select|SelectAndScatter,4,select_eq_var|select_lt,2,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
random_generation,Random-number generation or RNG state manipulation.,Requires RNG engines or specialized scalar/vector support.,RngNormal|RngUniform|RngBitGenerator|RngGetAndUpdateState,4,,0,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
reduction,"Ops that combine many values into fewer values, including windowed or associative aggregations.","Typically handled by reduction trees, vector reduction hardware, or decomposed tensor engines depending on the pattern.",Reduce|ReducePrecision|ReduceScatter|ReduceWindow|Scan|TopK,6,reduce|reduce_add,2,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
special_math,Elementwise nonlinear or transcendental math operations.,"Often executed on SFUs, LUT/CORDIC blocks, or specialized vector math pipelines.",Abs|Cbrt|Ceil|Clz|Cos|Cosh|Erf|Exp|Expm1|Floor|Imag|IsFinite,26,exp|exponential,2,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
specialized_compute,"Domain-specific kernels like batch norm, FFT, or triangular solve that may require dedicated decomposition or specialized units.",Often hybrid: may decompose into vector/tensor primitives or target dedicated IP.,BatchNormGrad|BatchNormInference|BatchNormTraining|Cholesky|Fft|TriangularSolve,6,,0,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
tensor_compute,High-arithmetic-intensity tensor algebra such as matrix multiplication and convolution.,"Best matched to matrix engines, systolic arrays, tensor cores, or other MAC-dense compute blocks.",Conv (Convolution)|Dot,2,dot,1,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
tuple_structural,IR-structural tuple packing/unpacking rather than real tensor math.,"Mostly runtime/compiler structure, often not a direct compute primitive.",GetTupleElement|Tuple,2,,0,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
uncategorized,Fallback bucket for ops not yet assigned a clearer hardware-oriented abstraction.,Needs manual review before serious cost modeling.,,0,,0,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
vector_compute,Regular elementwise arithmetic and logic across tensor lanes.,Maps naturally to SIMD/vector ALUs with lane-wise execution.,Add|And|Atan2|Complex|Div|Max|Min|Mul|Or|Pow|Rem|ShiftLeft,16,add|divide|maximum|minimum|multiply|subtract|xor,7,Based on current XLA op reference CSV (111 rows) and current TAIDL grammar/join sheet.
