xla_hlo_op,anchor_id,category,suggested_abstraction_group,description,source_url,source_page,notes
Abs,abs,elementwise_unary,elementwise_special,Element-wise abs x -> |x| .,https://openxla.org/xla/operation_semantics#abs,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Add,add,elementwise_binary,elementwise_alu,Performs element-wise addition of lhs and rhs .,https://openxla.org/xla/operation_semantics#add,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
AddDependency,adddependency,control_token_async,control_or_token,"AddDependency may appear in HLO dumps, but they are not intended to be constructed manually by end users.",https://openxla.org/xla/operation_semantics#adddependency,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
AfterAll,afterall,control_token_async,control_or_token,AfterAll takes a variadic number of tokens and produces a single token. Tokens are primitive types which can be threaded between side-effecting operations to enforce ordering. AfterAll can be used as a join of tokens for ordering an operation after a set of operations.,https://openxla.org/xla/operation_semantics#afterall,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
AllGather,allgather,collective_communication,collective,Performs concatenation across replicas.,https://openxla.org/xla/operation_semantics#allgather,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
AllReduce,allreduce,collective_communication,collective,Performs a custom computation across replicas.,https://openxla.org/xla/operation_semantics#allreduce,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
AllToAll,alltoall,collective_communication,collective,AllToAll is a collective operation that sends data from all cores to all cores. It has two phases:,https://openxla.org/xla/operation_semantics#alltoall,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
And,and,elementwise_binary,elementwise_alu,Performs element-wise AND of two tensors lhs and rhs .,https://openxla.org/xla/operation_semantics#and,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Async,async,control_token_async,control_or_token,"AsyncDone , AsyncStart , and AsyncUpdate are internal HLO instructions used for Asynchronous operations and serve as primitives in HLO. These ops may appear in HLO dumps but they are not intended to be constructed manually by end users.",https://openxla.org/xla/operation_semantics#async,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
Atan2,atan2,elementwise_binary,elementwise_alu,Performs element-wise atan2 operation on lhs and rhs .,https://openxla.org/xla/operation_semantics#atan2,OpenXLA operation semantics,Current official XLA op section. TAIDL paper states XLA-HLO supports 120+ ops: https://act-compiler.github.io/assets/pdf/taidl-micro25.pdf
